Course Quality,Instructor Quality,Difficulty,Amount Learned,Work Required
2.56415094339623,2.73584905660377,2.80114285714286,2.70980952380952,3.09695238095238
2.44867346938776,2.63295918367347,2.71,2.60214285714286,2.90928571428571
2.53015384615385,2.73623076923077,2.75604651162791,2.72767441860465,3.05085271317829
2.57703703703704,2.7512962962963,2.69962264150943,2.70301886792453,2.87377358490566
2.5527027027027,2.75702702702703,2.73045045045045,2.74918918918919,2.94297297297297
2.54495412844037,2.71324074074074,2.70231481481481,2.68222222222222,2.88824074074074
2.622,2.82272727272727,2.73009090909091,2.836,2.83545454545455
2.57236363636364,2.77145454545455,2.60209090909091,2.72081818181818,2.674
2.52883928571429,2.73383928571429,2.76035714285714,2.76495412844037,2.87151785714286
2.54745614035088,2.68377192982456,2.65894736842105,2.73702702702703,2.69280701754386
2.41233009708738,2.66485436893204,2.71174757281553,2.68,2.79145631067961
2.44769911504425,2.64675438596491,2.73789473684211,2.686875,2.78061403508772
2.54974358974359,2.7825641025641,2.67957264957265,2.78130434782609,2.73051282051282
