Course Quality,Instructor Quality,Difficulty,Amount Learned,Work Required
3.01731343283582,3.16380597014925,2.55597014925373,3.13097014925373,2.54410447761194
2.884,3.08535483870968,2.43425806451613,3.01154838709677,2.60329032258065
2.95292307692308,3.11130769230769,2.58630769230769,3.07984615384615,2.69046153846154
2.95982558139535,3.13883720930233,2.48216374269006,3.07035087719298,2.67567251461988
2.89910344827586,3.04689655172414,2.63751724137931,3.03124137931034,2.72486111111111
2.93934131736527,3.15233532934132,2.45240963855422,3.03415662650602,2.64753012048193
3.08614906832298,3.25122699386503,2.62760736196319,3.21490797546012,2.73374233128834
2.99811428571429,3.22582857142857,2.52725714285714,3.14891428571429,2.64902857142857
2.87689189189189,3.17121621621622,2.57886363636364,3.12781818181818,2.69513636363636
2.81797101449275,3.11380434782609,2.49576642335766,3.02386861313869,2.62839416058394
2.96102112676056,3.14415492957746,2.46631205673759,3.15560283687943,2.54691489361702
2.8580073800738,3.08580882352941,2.39501872659176,2.94569288389513,2.52958646616541
3.05072961373391,3.24952789699571,2.54309012875536,3.24523605150215,2.65991416309013
